policy_id,customer_age,annual_income,claim_history,fraudulent_claim,premium_amount,claim_amount,risk_score,vehicle_age,policy_type_Auto,policy_type_Health,policy_type_Life,policy_type_Property,gender_Female,gender_Male,gender_Other,z_score_claim,anomaly_isoforest,anomaly_autoencoder,fraud_score,final_fraud_flag
POL000001,56.0,0.36640666666666677,1,0,0.468867114003024,0.5478963192215809,1,7.3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9671779516220382,0,0,0.0,0
POL000002,69.0,0.8248169166666668,1,0,0.27791258772483574,0.149283412434732,1,10.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.8972391741696902,0,0,0.0,0
POL000003,46.0,0.3940239166666667,3,0,0.06542371211164727,0.06566692870109885,2,6.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.2883354021571942,0,0,0.0,0
POL000005,60.0,0.24365450000000005,0,1,0.6445508211260189,0.6170985520535132,0,12.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.2908549471185067,0,0,0.0,0
POL000006,25.0,0.7160588333333333,1,0,0.4336770986983312,0.5143834117668781,1,2.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8104292926353579,0,0,0.0,0
POL000008,38.0,0.5281810833333334,0,0,0.07597070860419353,0.0707736537146229,1,5.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.2644499097162423,0,0,0.0,0
POL000009,56.0,0.2585075,0,0,0.5722215207999088,0.337943489347927,1,10.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.014826506738846647,0,0,0.0,0
POL000010,75.0,0.27910275000000007,1,0,0.3463094750521191,0.015803779817220177,1,13.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.5215584291644906,0,0,0.0,0
POL000011,36.0,0.5896353333333334,3,0,0.19570606367614407,0.49465579400557924,2,6.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7181580495847503,0,0,0.0,0
POL000012,40.0,0.29582566666666665,1,0,0.47313672294810877,0.12018580480516933,1,5.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.0333363176902686,0,0,0.0,0
