Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
1287c703-a09e-40f3-b17c-92bc37b47790,2c946bca-ef75-45a7-9bde-43e7f7ab2979,"The website is slow and unresponsive. I tried to purchase a policy, but the payment gateway kept failing. Had to contact support, and even that was not very helpful.",Negative,1,Claim
8f879862-6cdf-48b8-8ffc-5d3cd8cf9b66,eee5da15-5e7d-4a21-9159-045b0799f7c3,"Extremely dissatisfied with the level of service provided. I have been a loyal customer for years, but my recent experience was very disappointing. I expected better treatment and quicker responses.",Negative,1,Support
58219807-817d-4abe-ab42-26ed5610888d,9940be2e-0929-4b59-bd28-45aafae8ea26,"One of the best experiences I've had with a service provider. From policy purchase to claim settlement, everything was smooth and hassle-free. Would definitely recommend them to my friends and family.",Positive,5,Claim
31bd9516-5a52-4f6a-8d3b-70a2f79903aa,f7e9d7be-34b1-4776-ae4d-845579ecf756,"The service was neither great nor bad. I got my policy on time, but the website was a bit slow. It took a while to load the pages, which was slightly frustrating.",Neutral,4,Policy Purchase
7b34f439-42a6-4fe7-ad4e-373558000b1b,96ddd94a-9402-4b37-bd06-b04976f3a0bb,"I had a terrible experience with the claims department. They kept asking for more documents even after I had submitted everything required. It took weeks to get a response, and the process was very frustrating.",Negative,1,Support
406e3f31-3282-49cb-af8a-17b8b33597c7,84ae2671-750d-4e2e-93bf-a994c2ea2ef6,"The website is slow and unresponsive. I tried to purchase a policy, but the payment gateway kept failing. Had to contact support, and even that was not very helpful.",Negative,1,Support
033020cb-db6b-4e73-bbeb-6560e14b957e,b3505e93-bf29-4f83-986f-c48a529d4ac2,"Horrible experience! My claim was rejected without a valid reason. I submitted all the necessary documents, but they still denied it. I would not recommend this service to anyone.",Negative,1,Support
0e796fb9-42f4-46c3-b44c-3f2ef8ef286d,dd5a2331-3fa7-471f-8663-caab381bdf3a,"Extremely dissatisfied with the level of service provided. I have been a loyal customer for years, but my recent experience was very disappointing. I expected better treatment and quicker responses.",Negative,2,Support
d7538c17-8a6f-4df3-bd96-44d59b70eec6,4dee6ae4-b307-4084-857d-4e3e0ed0a3b3,"I had a terrible experience with the claims department. They kept asking for more documents even after I had submitted everything required. It took weeks to get a response, and the process was very frustrating.",Negative,2,Policy Purchase
5c55a923-bbee-4ded-bb7a-4c09e983a3c9,f319c33a-22ef-4758-9d0e-c541b3853268,"Purchased a policy last week. The process was standard, and I didn't face any issues. Nothing extraordinary, but also nothing to complain about.",Neutral,3,Claim
f96d86e2-ec20-495c-939b-5f40e4efa00c,2f054456-0bba-4e99-8535-1581f8516ce8,"One of the best experiences I've had with a service provider. From policy purchase to claim settlement, everything was smooth and hassle-free. Would definitely recommend them to my friends and family.",Positive,5,Policy Purchase
e1bd30e8-3c49-49fe-bb40-bf8f43e66841,2237c3d5-46e4-4d4a-830c-883d96195fda,"I purchased a policy online, and the entire process was seamless. The website was easy to navigate, and I received confirmation instantly. Happy with the experience and looking forward to their services.",Positive,4,Support
49d984ef-3f45-4405-ba5f-d8e154251583,b6d20bf3-b5e1-4a4b-9af7-6fa9f9368cd1,"Extremely dissatisfied with the level of service provided. I have been a loyal customer for years, but my recent experience was very disappointing. I expected better treatment and quicker responses.",Negative,1,Support
a70370d9-ba21-44c7-a1a0-a7a8a1fe6e1a,9ae749cd-a957-4b04-b8aa-b46d2fdbbf61,The claims process was smooth and efficient. I was pleasantly surprised by how quickly my claim was approved. The representatives were courteous and made sure I had all the details.,Positive,4,Policy Purchase
876d2a8f-c8e3-4d1a-bd9d-8df37f87bed9,e6c43392-cc8d-4026-befd-18260289e912,"Extremely dissatisfied with the level of service provided. I have been a loyal customer for years, but my recent experience was very disappointing. I expected better treatment and quicker responses.",Negative,2,Claim
d5814fe9-e5af-463c-9349-cb532af19026,a6012f5c-4813-4962-9cca-7a5376e5b78c,The claims process was smooth and efficient. I was pleasantly surprised by how quickly my claim was approved. The representatives were courteous and made sure I had all the details.,Positive,4,Support
141248db-024a-43fd-9805-7a74ee943e28,f120de32-adbd-4f55-929c-5eb5a9b1c158,"Extremely dissatisfied with the level of service provided. I have been a loyal customer for years, but my recent experience was very disappointing. I expected better treatment and quicker responses.",Negative,1,Support
